,title,url,thumbnail,time
30,【ジャックジャンヌ/初見実況】少女は少年を演じた。Part.7【よなが/#新人Vtuber】,https://youtube.com/watch?v=hWBftCox42U,https://i.ytimg.com/vi/hWBftCox42U/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD30gQx4rdq95i3m3xjd8_F2QQcTw,4:50:38
31,【ポケモンSV/初見実況】＃３ 気ままに旅するスカーレット！【よなが/#新人Vtuber】,https://youtube.com/watch?v=ih-vtNXcd24,https://i.ytimg.com/vi/ih-vtNXcd24/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDAu7FbVLB434pHKvVzSxJhEIJlmA,4:35:26
32,【ポケモンSV/初見実況】＃２ 気ままに旅するスカーレット！【よなが/#新人Vtuber】,https://youtube.com/watch?v=3OufYwbQBpw,https://i.ytimg.com/vi/3OufYwbQBpw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBQvBavg9tsqmhQEPJXCn-LA7gUmg,6:33:20
33,【ポケモンSV/初見実況】気ままに旅するスカーレット！【よなが/#新人Vtuber】,https://youtube.com/watch?v=JC_YJy916Tg,https://i.ytimg.com/vi/JC_YJy916Tg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAXJfgP0HVmknifS_OmpayFJx3IYA,4:03:18
34,【ジャックジャンヌ/初見実況】少女は少年を演じた。Part.6【よなが/#新人Vtuber】,https://youtube.com/watch?v=foyepoV6cRM,https://i.ytimg.com/vi/foyepoV6cRM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDojLyB-dN1cHPA8_-8b4dqHHt8HQ,3:23:38
35,【ジャックジャンヌ/初見実況】少女は少年を演じた。Part.5【よなが/#新人Vtuber】,https://youtube.com/watch?v=AVnu4iGBdLU,https://i.ytimg.com/vi/AVnu4iGBdLU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDuhf-vR5b7T0DavcQV-6mICo7pMQ,2:48:25
36,【FF14/Gaia/蒼天】モグコレ期間のお供に！＃ １９ 【よなが/#新人Vtuber】,https://youtube.com/watch?v=Da65N1R7MNE,https://i.ytimg.com/vi/Da65N1R7MNE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDjikAjkMQehbLC1A0o2JRnrJQQIw,2:00:09
37,【ジャックジャンヌ/初見実況】少女は少年を演じた。Part.4【よなが/#新人Vtuber】,https://youtube.com/watch?v=JMN9I5gD2Zw,https://i.ytimg.com/vi/JMN9I5gD2Zw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDNwOTHxsuAkGDRudTcPUzquyOxxw,4:19:19
38,【ジャックジャンヌ/初見実況】少女は少年を演じた。Part.3【よなが/#新人Vtuber】,https://youtube.com/watch?v=yVUW7xCdQuw,https://i.ytimg.com/vi/yVUW7xCdQuw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA6MGs3HSoiDYQeSh1nwn82lIWrtw,2:19:38
39,【ジャックジャンヌ/初見実況】少女は少年を演じた。Part.2【よなが/#新人Vtuber】,https://youtube.com/watch?v=B078hGV61aI,https://i.ytimg.com/vi/B078hGV61aI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCub3g8uaDHo_2CpCepXSdmdKxrOw,4:33:24
40,【FF14/Gaia/蒼天】次のメインクエ……、なんだ？＃ １８ 【よなが/#新人Vtuber】,https://youtube.com/watch?v=eFQ-zudxf6Y,https://i.ytimg.com/vi/eFQ-zudxf6Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAJpnIGN8jgjZprxiJqm-w4ZBTyVg,2:05:18
41,【ジャックジャンヌ/初見実況】少女は少年を演じた。Part.1【よなが/#新人Vtuber】,https://youtube.com/watch?v=gYRBWVKUKJ4,https://i.ytimg.com/vi/gYRBWVKUKJ4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDT0BvH8r0cnWgW0pX8XV-8B9itoA,2:41:06
